Created on 10-22-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-26,XRPUSD,0.6058,0.6266,0.5973,0.6079,3313223.76,2041644.48
2018-05-25,XRPUSD,0.6297,0.6331,0.5937,0.6058,5604297.53,3420476.09
2018-05-24,XRPUSD,0.5916,0.638,0.5771,0.6297,6711473.46,4088744.21
2018-05-23,XRPUSD,0.6377,0.6771,0.575,0.5916,11087662.71,6720406.81
2018-05-22,XRPUSD,0.6759,0.6784,0.6354,0.6377,3082917.33,2036838.57
2018-05-21,XRPUSD,0.6982,0.702,0.67,0.6759,3440778.83,2357162.44
2018-05-20,XRPUSD,0.6753,0.7067,0.6695,0.6982,3128363.34,2163732.52
2018-05-19,XRPUSD,0.6754,0.6913,0.662,0.6753,1950923.44,1316638.19
2018-05-18,XRPUSD,0.66,0.6838,0.6468,0.6754,4702291.3,3131540.67
2018-05-17,XRPUSD,0.7088,0.7137,0.65,0.66,5020019.14,3429868.97
2018-05-16,XRPUSD,0.6909,0.71,0.66,0.7088,7288025.29,4944053.71
2018-05-15,XRPUSD,0.7282,0.748,0.6831,0.6909,6829102.69,4916707.03
2018-05-14,XRPUSD,0.7301,0.7494,0.69,0.7282,10422396.82,7499947.79
2018-05-13,XRPUSD,0.684,0.748,0.665,0.7301,7675487.11,5483930.59
2018-05-12,XRPUSD,0.6789,0.708,0.631,0.684,9568244.8,6465975.91
2018-05-11,XRPUSD,0.7482,0.7577,0.6501,0.6789,21754351.13,15092899.21
2018-05-10,XRPUSD,0.7956,0.8052,0.7455,0.7482,5167683.31,4040008.1
2018-05-09,XRPUSD,0.8058,0.8156,0.76,0.7956,10821184.25,8452743.4
2018-05-08,XRPUSD,0.8286,0.8453,0.7919,0.8058,5158206.9,4196597.06
2018-05-07,XRPUSD,0.8599,0.8629,0.8011,0.8286,8222673.92,6762776.49
2018-05-06,XRPUSD,0.8986,0.91,0.8377,0.8599,6770007.56,5867508.18
2018-05-05,XRPUSD,0.8882,0.924,0.8854,0.8986,4495877.21,4065295.57
2018-05-04,XRPUSD,0.8734,0.9247,0.8562,0.8882,8853006.39,7900672.15
2018-05-03,XRPUSD,0.858,0.89,0.84,0.8734,8480588.25,7383584.34
2018-05-02,XRPUSD,0.8356,0.8749,0.825,0.858,7232277.11,6146417.29
2018-05-01,XRPUSD,0.831,0.8395,0.781,0.8356,7761013.26,6275403.89
2018-04-30,XRPUSD,0.8699,0.875,0.8167,0.831,5772929.94,4874016.93
2018-04-29,XRPUSD,0.8603,0.9086,0.8251,0.8699,8468313.87,7340008.74
2018-04-28,XRPUSD,0.8068,0.89,0.8031,0.8603,6817314.92,5799100.9
2018-04-27,XRPUSD,0.8488,0.8622,0.8015,0.8068,8126669.05,6810153.31
2018-04-26,XRPUSD,0.7951,0.8499,0.758,0.8488,14336949.25,11543681.36
2018-04-25,XRPUSD,0.92,0.9266,0.7695,0.7951,28839707.1,23932333.85
2018-04-24,XRPUSD,0.8734,0.964,0.8672,0.92,15945214.43,14713114.52
